success type,attribution_method,SearchMatchType,SearchCategory,RecordType,CampaignMap,ActivitySubType,CampaignMapSearch,Site,CampaignType,Channel,contribution
build004, attributed,  ,  , Impression, Smax, ,  , G+J Electric Media Sales GmbH, Brand, Previous Site Activity, 0.585460371295
build0, attributed,  ,  , Impression, Mondeo Vignale 2015, ,  , IQ Digital Network, Brand, Previous Site Activity, 1.0000048829
build004, last_event, Broad, Generic, Search Click,  , , Wagen, DART Search : Google,  , Previous Site Activity, 1.0
build0, attributed,  ,  , Impression, Retail Marz, ,  , OMS DE, Retail, Previous Site Activity, 350.229059648
build0, attributed,  ,  , Impression, UNKNOWN, ,  , Business Advertising GmbH, UNKNOWN, Previous Site Activity, 11.5464677094
testd00, last_event, Exact, Name Plate, Search Click,  , , Bmax, DART Search : Google,  , Previous Site Activity, 101.0
build004, attributed, Broad, Brand, Search Click,  , , Generisch, DART Search : Google,  , Previous Site Activity, 12.0000061561
build004, last_event, Exact, Brand, Search Click,  , , Handler, DART Search : Google,  , Previous Site Activity, 1.0
build0, attributed,  ,  , Impression, Retail Marz, ,  , SevenOne Media GmbH, Retail, Previous Site Activity, 2100.72092676
build004, last_event,  ,  , Impression, Smax, ,  , XaxisDE, Brand, Previous Site Activity, 85.0
build004, attributed,  ,  , Impression, Retail February, ,  , Mobile.de, Retail, Previous Site Activity, 6.34519098991
build0, last_event, Exact, Commercial Vehicles, Search Click,  , , Courier, DART Search : Google,  , Previous Site Activity, 41.0
build004, last_event, Broad, Commerce, Search Click,  , , Other Campaign, DART Search : Google,  , Previous Site Activity, 2.0
testd00, last_event,  ,  , Display Click, Smax, ,  , Xaxis Mobile TV, Brand, Previous Site Activity, 4.0
build004, attributed, Exact, Commerce, Search Click,  , , Other Campaign, DART Search : Google,  , Previous Site Activity, 5.0
testd00, last_event,  ,  , Impression, Smax, ,  , IQ Digital Network, Brand, Previous Site Activity, 3.0
build004, attributed,  ,  , Impression, UNKNOWN, ,  , AutoScout24 Media, UNKNOWN, Previous Site Activity, 0.111111111111
build0, attributed,  ,  , Impression, Retail February, ,  , XaxisDE, Retail, Previous Site Activity, 891.343078779
build004, attributed,  ,  , Display Click, Retail Sales, ,  , Mobile.de, Retail, Previous Site Activity, 5.60476190476
build0, last_event,  ,  , Impression, Gewerbewochen Marz, ,  , G+J Electric Media Sales GmbH, Retail, Previous Site Activity, 142.0
build004, attributed, Exact, Name Plate, Search Click,  , , Kuga Sustain, DART Search : Google,  , Previous Site Activity, 44.0836883985
build004, last_event, Broad, Name Plate, Search Click,  , , Kuga Sustain, DART Search : Google,  , Previous Site Activity, 13.0
build004, attributed,  ,  , Impression, Formel 1 2016, ,  , IP Deutschland, Brand, Previous Site Activity, 0.5
build004, last_event,  ,  , Impression, UNKNOWN, ,  , Autobild.de, UNKNOWN, Previous Site Activity, 1.0
build0, attributed,  ,  , Impression, Retail January, ,  , auto-motor-und-sport.de, Retail, Previous Site Activity, 5035.87251333
build0, attributed, Broad, Name Plate, Search Click,  , , Smax, DART Search : Google,  , Previous Site Activity, 1367.68725892
build0, last_event,  ,  , Impression, Smax, ,  , Axel Springer Media Impact, Brand, Previous Site Activity, 1621.0
build0, attributed,  ,  , Display Click, Retail Sales, ,  , XaxisDE, Retail, Previous Site Activity, 125.446493141
build0, attributed, Broad, Name Plate, Search Click,  , , Galaxy Launch, DART Search : Google,  , Previous Site Activity, 401.753409534
build0, last_event, Phrase, Name Plate, Search Click,  , , Fiesta Retail, DART Search : Google,  , Previous Site Activity, 322.0
build004, attributed,  ,  , Impression, Retail February, ,  , Bauer Media, Retail, Previous Site Activity, 19.6994287785
testd00, last_event,  ,  , Display Click, Retail January, ,  , Autobild.de, Retail, Previous Site Activity, 2.0
build0, last_event,  ,  , Impression, Fleet February, ,  , EMC, Retail, Previous Site Activity, 24.0
testd00, attributed,  ,  , Display Click, Smax, ,  , Axel Springer Media Impact, Brand, Previous Site Activity, 0.952380952381
build004, attributed,  ,  , Display Click, Retail January, ,  , Autoscout24.de, Retail, Previous Site Activity, 0.5
build004, last_event,  ,  , Impression, Kuga Sustain, ,  , OMS DE, Brand, Previous Site Activity, 1.0
build0, attributed,  ,  , Display Click, Gewerbewochen Marz, ,  , Light Reaction, Retail, Previous Site Activity, 448.676397504
build0, last_event,  ,  , Impression, Retail Marz, ,  , Mobile.de, Retail, Previous Site Activity, 756.0
build0, attributed,  ,  , Display Click, Gewerbewochen Marz, ,  , G+J Electric Media Sales GmbH, Retail, Previous Site Activity, 13.560675519
build0, attributed,  ,  , Impression, Pendolaris, ,  , pendolaris.de, Brand, Previous Site Activity, 12.1615131597
build004, attributed,  ,  , Impression, Retail January, ,  , autozeitung.de, Retail, Previous Site Activity, 46.1993413429
testd00, last_event, Exact, FCSD, Search Click,  , , Motocraft, DART Search : Google,  , Previous Site Activity, 5.0
build004, last_event,  ,  , Impression, Kuga Sustain, ,  , SevenOne Media GmbH, Brand, Previous Site Activity, 5.0
testd00, last_event, Broad, Generic, Search Click,  , , Combis, DART Search : Google,  , Previous Site Activity, 1.0
testd00, attributed,  ,  , Display Click, Retail Marz, ,  , Mobile.de, Retail, Previous Site Activity, 0.47619047619
build004, attributed, Broad, Name Plate, Search Click,  , , Bmax, DART Search : Google,  , Previous Site Activity, 1.0
build004, last_event,  ,  , Impression, Fleet February, ,  , IQ Digital Network, Retail, Previous Site Activity, 2.0
build0, attributed, Broad, Brand, Search Click,  , , Kategorien, DART Search : Google,  , Previous Site Activity, 283.978548493
build004, last_event, UNKNOWN, UNKNOWN, Search Click,  , , UNKNOWN, DART Search : MSN,  , Previous Site Activity, 95.0
build0, attributed, Broad, Brand, Search Click,  , , Ford Technology, DART Search : Google,  , Previous Site Activity, 130.400495936
build0, last_event, Exact, Commerce, Search Click,  , , Ford Rental, DART Search : Google,  , Previous Site Activity, 5.0
build004, attributed, Broad, Brand, Search Click,  , , Retail, DART Search : Google,  , Previous Site Activity, 1.0
build0, last_event,  ,  , Impression, Retail Marz, ,  , Bauer Media, Retail, Previous Site Activity, 1245.0
build0, last_event, Exact, FCSD, Search Click,  , , Motocraft, DART Search : Google,  , Previous Site Activity, 100.0
build0, last_event,  ,  , Display Click, UNKNOWN, ,  , iq digital media marketing gmbh, UNKNOWN, Previous Site Activity, 10.0
build0, last_event,  ,  , Display Click, Smax, ,  , Quisma, Brand, Previous Site Activity, 27.0
build004, attributed,  ,  , Display Click, Fleet February, ,  , IQ Digital Network, Retail, Previous Site Activity, 3.84650872745e-06
build004, last_event,  ,  , Display Click, Retail Sales, ,  , Plista, Retail, Previous Site Activity, 11.0
build0, attributed,  ,  , Display Click, Kuga Sustain, ,  , plista.de, Brand, Previous Site Activity, 115.001353192
testd00, last_event,  ,  , Impression, Retail Sales, ,  , XaxisDE, Retail, Previous Site Activity, 5.0
build0, attributed,  ,  , Display Click, Retail January, ,  , IQ Digital Network, Retail, Previous Site Activity, 46.3110432273
testd00, attributed,  ,  , Impression, Kuga Sustain, ,  , AutoScout24 Media, Brand, Previous Site Activity, 34.0224944905
testd00, last_event, Broad, Generic, Search Click,  , , Offroader, DART Search : Google,  , Previous Site Activity, 1.0
build0, attributed, Broad, Generic, Search Click,  , , Kompakt, DART Search : Google,  , Previous Site Activity, 11.5298062419
testd00, attributed, Broad, Name Plate, Search Click,  , , Mustang, DART Search : Google,  , Previous Site Activity, 30.0836240172
testd00, last_event,  ,  , Display Click, Retail January, ,  , Light Reaction, Retail, Previous Site Activity, 7.0
build004, attributed,  ,  , Display Click, Smax, ,  , Interactive Media, Brand, Previous Site Activity, 4.85772475444
build0, last_event, Exact, Generic, Search Click,  , , MicroVan, DART Search : Google,  , Previous Site Activity, 4.0
build0, last_event,  ,  , Display Click, UNKNOWN, ,  , autoplenum.de, UNKNOWN, Previous Site Activity, 6.0
testd00, last_event,  ,  , Display Click, Gewerbewochen Marz, ,  , AutoScout24 Media, Retail, Previous Site Activity, 1.0
build0, last_event,  ,  , Display Click, UNKNOWN, ,  , mirando.de, UNKNOWN, Previous Site Activity, 3.0
testd00, attributed, Exact, Generic, Search Click,  , , Offroader, DART Search : Google,  , Previous Site Activity, 1.08635171906e-05
build0, attributed,  ,  , Impression, Smax, ,  , united internet media, Brand, Previous Site Activity, 2722.43960495
build0, attributed,  ,  , Impression, Gewerbewochen Marz, ,  , IQ Digital Network, Retail, Previous Site Activity, 196.580918255
build0, attributed,  ,  , Display Click, Retail Marz, ,  , Bauer Media, Retail, Previous Site Activity, 47.0931154667
testd00, attributed,  ,  , Impression, Kuga Sustain, ,  , Interactive Media, Brand, Previous Site Activity, 40.4737635014
testd00, last_event,  ,  , Display Click, Kuga Sustain, ,  , XaxisDE, Brand, Previous Site Activity, 12.0
build0, attributed,  ,  , Display Click, Kuga Sustain, ,  , G+J Electric Media Sales GmbH, Brand, Previous Site Activity, 5.92552234425
testd00, attributed,  ,  , Display Click, AllLine Carsharing, ,  , Light Reaction, Retail, Previous Site Activity, 0.45042275051
build0, last_event, Exact, Name Plate, Search Click,  , , Ranger, DART Search : Google,  , Previous Site Activity, 1122.0
build0, last_event,  ,  , Display Click, Retail January, ,  , Light Reaction, Retail, Previous Site Activity, 2644.0
build0, last_event,  ,  , Display Click, Gewerbewochen Marz, ,  , AutoScout24 Media, Retail, Previous Site Activity, 33.0
build0, attributed,  ,  , Display Click, Video Seeding, ,  , Unruly Media, Brand, Previous Site Activity, 0.422765123326
build004, attributed, Broad, Generic, Search Click,  , , Neue, DART Search : Google,  , Previous Site Activity, 2.0
build0, attributed,  ,  , Impression, Kuga Sustain, ,  , Interactive Media, Brand, Previous Site Activity, 2605.03980426
build0, attributed,  ,  , Display Click, Retail January, ,  , autoplenum.de, Retail, Previous Site Activity, 49.5747266203
build0, last_event,  ,  , Display Click, Kuga Sustain, ,  , XaxisDE, Brand, Previous Site Activity, 903.0
build0, attributed,  ,  , Display Click, UNKNOWN, ,  , Xaxis Display, UNKNOWN, Previous Site Activity, 5.1066077365
testd00, attributed, Broad, Name Plate, Search Click,  , , Focus, DART Search : Google,  , Previous Site Activity, 36.9170751732
testd00, last_event,  ,  , Display Click, Retail Marz, ,  , OMS DE, Retail, Previous Site Activity, 3.0
build004, attributed,  ,  , Display Click, Retail February, ,  , SevenOne Media, Retail, Previous Site Activity, 1.0
build0, attributed,  ,  , Impression, Smax, ,  , Mobile.de, Brand, Previous Site Activity, 1557.70090656
build0, attributed,  ,  , Impression, Gewerbewochen Marz, ,  , mirando.de, Retail, Previous Site Activity, 695.808506436
build0, attributed,  ,  , Display Click, Gewerbewochen Marz, ,  , blogformgroup.com, Retail, Previous Site Activity, 15.6856952463
testd00, attributed, Broad, Name Plate, Search Click,  , , Fiesta Retail, DART Search : Google,  , Previous Site Activity, 9.0835206433
build004, last_event,  ,  , Display Click, Smax, ,  , Light Reaction, Brand, Previous Site Activity, 30.0
build004, last_event,  ,  , Impression, Retail January, ,  , XaxisDE, Retail, Previous Site Activity, 6.0
testd00, last_event,  ,  , Impression, Kuga Sustain, ,  , plista.de, Brand, Previous Site Activity, 5.0
testd00, last_event,  ,  , Impression, Retail January, ,  , IQ Digital Network, Retail, Previous Site Activity, 4.0
build0, attributed,  ,  , Display Click, Retail February, ,  , Light Reaction, Retail, Previous Site Activity, 4779.09166172
build0, last_event,  ,  , Impression, Retail Sales, ,  , AutoScout24 Media, Retail, Previous Site Activity, 517.0
testd00, attributed,  ,  , Display Click, Smax, ,  , Esome, Brand, Previous Site Activity, 101.844068562
testd00, last_event,  ,  , Display Click, Retail February, ,  , XaxisDE, Retail, Previous Site Activity, 1.0
testd00, attributed,  ,  , Display Click, Retail Sales, ,  , AutoScout24 Media, Retail, Previous Site Activity, 0.888491546498
testd00, last_event,  ,  , Impression, Kuga Sustain, ,  , G+J Electric Media Sales GmbH, Brand, Previous Site Activity, 1.0
build004, last_event,  ,  , Impression, Fleet February, ,  , Business Advertising GmbH, Retail, Previous Site Activity, 2.0
build0, last_event,  ,  , Display Click, UNKNOWN, ,  , Business Advertising GmbH, UNKNOWN, Previous Site Activity, 3.0
build0, last_event, Exact, Name Plate, Search Click,  , , Galaxy Launch, DART Search : Google,  , Previous Site Activity, 2685.0
build0, last_event, Exact, Name Plate, Search Click,  , , Smax, DART Search : Google,  , Previous Site Activity, 5790.0
build0, last_event,  ,  , Display Click, Kuga Sustain, ,  , AutoScout24 Media, Brand, Previous Site Activity, 406.0
build004, attributed,  ,  , Impression, Retail Marz, ,  , SevenOne Media GmbH, Retail, Previous Site Activity, 3.42228686641
testd00, last_event, Exact, Brand, Search Click,  , , Kategorien, DART Search : Google,  , Previous Site Activity, 24.0
build0, attributed, Broad, Generic, Search Click,  , , Mini, DART Search : Google,  , Previous Site Activity, 2.09199884031e-05
testd00, last_event,  ,  , Display Click, Retail January, ,  , auto-motor-und-sport.de, Retail, Previous Site Activity, 1.0
build0, attributed,  ,  , Impression, Kuga Sustain, ,  , iq digital media marketing gmbh, Brand, Previous Site Activity, 1014.26730741
build0, attributed,  ,  , Impression, UNKNOWN, ,  , OMS DE, UNKNOWN, Previous Site Activity, 37.7669043913
build004, last_event, Exact, Name Plate, Search Click,  , , Bmax, DART Search : Google,  , Previous Site Activity, 21.0
build0, attributed,  ,  , Display Click, UNKNOWN, ,  , Media Impact DE, UNKNOWN, Previous Site Activity, 30.2987277841
testd00, last_event,  ,  , Impression, Retail January, ,  , autoplenum.de, Retail, Previous Site Activity, 22.0
testd00, last_event,  ,  , Impression, Retail January, ,  , motor-talk.de, Retail, Previous Site Activity, 18.0
testd00, attributed,  ,  , Impression, Retail January, ,  , auto-service.de, Retail, Previous Site Activity, 6.98564934867
testd00, attributed,  ,  , Impression, Gewerbewochen Marz, ,  , Business Advertising GmbH, Retail, Previous Site Activity, 0.567237008285
testd00, last_event,  ,  , Display Click, Motocraft 2016, ,  , Light Reaction, Retail, Previous Site Activity, 2.0
build0, attributed, Broad, Name Plate, Search Click,  , , Edge, DART Search : Google,  , Previous Site Activity, 1637.67464954
build0, attributed,  ,  , Impression, Smax, ,  , ForwardAdGroup, Brand, Previous Site Activity, 409.096205945
build0, last_event, Exact, Brand, Search Click,  , , Kategorien, DART Search : Google,  , Previous Site Activity, 2942.0
build0, last_event,  ,  , Impression, Retail Marz, ,  , Autoscout24.de, Retail, Previous Site Activity, 1857.0
build0, last_event, Exact, Brand, Search Click,  , , Ford Technology, DART Search : Google,  , Previous Site Activity, 146.0
testd00, attributed,  ,  , Display Click, Retail Marz, ,  , Autoscout24.de, Retail, Previous Site Activity, 0.507575757576
build0, attributed,  ,  , Impression, Retail January, ,  , auto-service.de, Retail, Previous Site Activity, 1062.20857909
build0, attributed,  ,  , Impression, Gewerbewochen Marz, ,  , Business Advertising GmbH, Retail, Previous Site Activity, 142.890210697
build0, last_event,  ,  , Impression, Smax, ,  , Plista, Brand, Previous Site Activity, 1148.0
build0, last_event,  ,  , Display Click, Motocraft 2016, ,  , Light Reaction, Retail, Previous Site Activity, 36.0
testd00, attributed,  ,  , Display Click, Smax, ,  , Plista, Brand, Previous Site Activity, 4.11413506654
testd00, last_event, Broad, Commercial Vehicles, Search Click,  , , Transit, DART Search : Google,  , Previous Site Activity, 2.0
build0, attributed,  ,  , Display Click, Fleet Allrad, ,  , Light Reaction, Retail, Previous Site Activity, 168.974484131
build0, last_event,  ,  , Display Click, Retail February, ,  , AutoScout24 Media, Retail, Previous Site Activity, 77.0
build0, last_event, Exact, Generic, Search Click,  , , Kompakt, DART Search : Google,  , Previous Site Activity, 15.0
build004, attributed,  ,  , Display Click, Smax, ,  , Axel Springer Media Impact, Brand, Previous Site Activity, 0.341758063694
build004, last_event,  ,  , Display Click, Retail January, ,  , Autobild.de, Retail, Previous Site Activity, 1.0
testd00, attributed, Exact, Brand, Search Click,  , , Alone, DART Search : Google,  , Previous Site Activity, 412.734837897
build0, last_event,  ,  , Impression, UNKNOWN, ,  , Mobile.de, UNKNOWN, Previous Site Activity, 178.0
testd00, last_event, Broad, Brand, Search Click,  , , Alone, DART Search : Google,  , Previous Site Activity, 69.0
build0, attributed,  ,  , Display Click, Smax, ,  , Plista, Brand, Previous Site Activity, 158.968124244
testd00, last_event,  ,  , Display Click, Smax, ,  , united internet media, Brand, Previous Site Activity, 16.0
testd00, last_event,  ,  , Impression, UNKNOWN, ,  , Media Impact DE, UNKNOWN, Previous Site Activity, 4.0
build004, attributed,  ,  , Display Click, Retail Marz, ,  , Mobile.de, Retail, Previous Site Activity, 0.125
build0, last_event,  ,  , Display Click, Retail Sales, ,  , Light Reaction, Retail, Previous Site Activity, 3178.0
build0, attributed, Exact, Commerce, Search Click,  , , Fleet Lease, DART Search : Google,  , Previous Site Activity, 1174.52452885
build0, attributed,  ,  , Display Click, Retail Marz, ,  , XaxisDE, Retail, Previous Site Activity, 39.036969272
build0, last_event, Broad, Commerce, Search Click,  , , Fleet Lease, DART Search : Google,  , Previous Site Activity, 1360.0
testd00, attributed,  ,  , Impression, Fleet Allrad, ,  , IQ Digital Network, Retail, Previous Site Activity, 13.5859500933
euepr528, attributed, Exact, Brand, Search Click,  , , Generisch, DART Search : Google,  , Previous Site Activity, 1.0
testd00, attributed, Exact, Name Plate, Search Click,  , , Mondeo Vignale, DART Search : Google,  , Previous Site Activity, 1.00000752346
build004, attributed, Broad, Name Plate, Search Click,  , , Ranger, DART Search : Google,  , Previous Site Activity, 0.500019151017
testd00, last_event,  ,  , Impression, Fleet February, ,  , aumago.com, Retail, Previous Site Activity, 1.0
build0, last_event, Broad, Brand, Search Click,  , , Alone, DART Search : Google,  , Previous Site Activity, 5499.0
build0, attributed, Exact, Brand, Search Click,  , , Alone, DART Search : Google,  , Previous Site Activity, 82478.1556893
testd00, last_event, Exact, Name Plate, Search Click,  , , Focus, DART Search : Google,  , Previous Site Activity, 105.0
build0, last_event,  ,  , Impression, UNKNOWN, ,  , Bauer Media, UNKNOWN, Previous Site Activity, 184.0
testd00, last_event,  ,  , Display Click, Kuga Sustain, ,  , Interactive Media, Brand, Previous Site Activity, 32.0
build0, attributed,  ,  , Display Click, Fleet Allrad, ,  , Quarter Media, Retail, Previous Site Activity, 5.96409084948
build0, attributed,  ,  , Impression, Retail January, ,  , Mobile.de, Retail, Previous Site Activity, 7722.13846676
build0, attributed, Exact, Name Plate, Search Click,  , , Mondeo, DART Search : Google,  , Previous Site Activity, 5396.07543121
build0, last_event, Broad, Name Plate, Search Click,  , , Mondeo Vignale, DART Search : Google,  , Previous Site Activity, 350.0
build0, attributed, Exact, Name Plate, Search Click,  , , Mondeo Vignale, DART Search : Google,  , Previous Site Activity, 1002.42324865
build004, attributed,  ,  , Impression, Kuga Sustain, ,  , AutoScout24 Media, Brand, Previous Site Activity, 4.8038017277
build0, last_event,  ,  , Impression, Fleet February, ,  , aumago.com, Retail, Previous Site Activity, 215.0
testd00, last_event, Exact, Name Plate, Search Click,  , , Fiesta Retail, DART Search : Google,  , Previous Site Activity, 43.0
build0, last_event, Broad, Name Plate, Search Click,  , , Mondeo, DART Search : Google,  , Previous Site Activity, 1373.0
testd00, attributed,  ,  , Display Click, Kuga Sustain, ,  , Quisma, Brand, Previous Site Activity, 20.2784782194
testd00, attributed, Broad, Commerce, Search Click,  , , Retail, DART Search : Google,  , Previous Site Activity, 29.5854409898
build004, last_event,  ,  , Display Click, Retail January, ,  , Light Reaction, Retail, Previous Site Activity, 3.0
build004, last_event,  ,  , Impression, Retail Sales, ,  , XaxisDE, Retail, Previous Site Activity, 2.0
testd00, last_event,  ,  , Display Click, Smax, ,  , Mobile.de, Brand, Previous Site Activity, 3.0
build004, attributed, Broad, Name Plate, Search Click,  , , Mustang, DART Search : Google,  , Previous Site Activity, 10.7500097639
build004, attributed, Exact, Commerce, Search Click,  , , Ford Credit, DART Search : Google,  , Previous Site Activity, 3.50000480866
testd00, attributed,  ,  , Impression, Retail February, ,  , Axel Springer Media Impact, Retail, Previous Site Activity, 36.796102903
build0, last_event,  ,  , Display Click, Smax, ,  , undertone.co.uk, Brand, Previous Site Activity, 320.0
build0, attributed, Broad, Generic, Search Click,  , , Turer, DART Search : Google,  , Previous Site Activity, 16.0044759152
testd00, attributed,  ,  , Impression, Smax, ,  , yahoo.co.uk, Brand, Previous Site Activity, 14.5942426283
build0, attributed,  ,  , Impression, Mondeo Vignale 2015, ,  , SevenOne Media, Brand, Previous Site Activity, 2.4364004476
build0, last_event, Exact, Generic, Search Click,  , , Crossover, DART Search : Google,  , Previous Site Activity, 2.0
build004, attributed,  ,  , Display Click, AllLine Carsharing, ,  , Light Reaction, Retail, Previous Site Activity, 0.333333333333
testd00, last_event,  ,  , Impression, Retail Marz, ,  , XaxisDE, Retail, Previous Site Activity, 10.0
build0, attributed,  ,  , Display Click, Mondeo Vignale 2015, ,  , ForwardAdGroup, Brand, Previous Site Activity, 1.0
build004, attributed, Broad, Name Plate, Search Click,  , , Focus, DART Search : Google,  , Previous Site Activity, 13.5844178419
testd00, attributed, Phrase, Brand, Search Click,  , , Retail, DART Search : Google,  , Previous Site Activity, 1.5
testd00, last_event,  ,  , Impression, Fleet Allrad, ,  , Quarter Media, Retail, Previous Site Activity, 3.0
testd00, attributed, Exact, Generic, Search Click,  , , Ford Technology, DART Search : Google,  , Previous Site Activity, 1.0
testd00, last_event,  ,  , Display Click, Kuga Sustain, ,  , iq digital media marketing gmbh, Brand, Previous Site Activity, 3.0
build004, attributed,  ,  , Impression, Retail February, ,  , AutoScout24 Media, Retail, Previous Site Activity, 55.2761707891
build0, last_event, Exact, Name Plate, Search Click,  , , Edge, DART Search : Google,  , Previous Site Activity, 6198.0
build004, attributed, Broad, Name Plate, Search Click,  , , Fiesta Retail, DART Search : Google,  , Previous Site Activity, 11.1667171559
build004, attributed, Unexposed, Unexposed, Unexposed, Unexposed, Unexposed, Unexposed, Unexposed, Unexposed, Unexposed, 36.0
euepr528, attributed,  ,  , Impression, Retail February, ,  , SevenOne Media, Retail, Previous Site Activity, 0.5
testd00, last_event,  ,  , Display Click, Smax, ,  , ForwardAdGroup, Brand, Previous Site Activity, 1.0
build0, attributed, Exact, Generic, Search Click,  , , Ford Technology, DART Search : Google,  , Previous Site Activity, 20.508412282
build0, last_event, Broad, Brand, Search Click,  , , Aktionen, DART Search : Google,  , Previous Site Activity, 61.0
build0, attributed, Phrase, Brand, Search Click,  , , Retail, DART Search : Google,  , Previous Site Activity, 38.6202750826
build0, attributed, Exact, Brand, Search Click,  , , Aktionen, DART Search : Google,  , Previous Site Activity, 89.0159216295
build0, last_event,  ,  , Display Click, Kuga Sustain, ,  , iq digital media marketing gmbh, Brand, Previous Site Activity, 515.0
build004, attributed,  ,  , Display Click, Smax, ,  , Esome, Brand, Previous Site Activity, 7.9380952381
build0, last_event, Broad, Generic, Search Click,  , , Ford Technology, DART Search : Google,  , Previous Site Activity, 11.0
build004, attributed,  ,  , Display Click, Retail Sales, ,  , AutoScout24 Media, Retail, Previous Site Activity, 0.5
testd00, last_event,  ,  , Display Click, Retail January, ,  , auto-service.de, Retail, Previous Site Activity, 1.0
build004, last_event,  ,  , Display Click, Retail February, ,  , XaxisDE, Retail, Previous Site Activity, 1.0
testd00, attributed, Broad, Brand, Search Click,  , , Mondeo Vignale, DART Search : Google,  , Previous Site Activity, 0.333338496027
build0, last_event,  ,  , Impression, Retail January, ,  , OMS DE, Retail, Previous Site Activity, 830.0
testd00, attributed,  ,  , Impression, Fleet Allrad, ,  , Business Advertising GmbH, Retail, Previous Site Activity, 5.81751808095
testd00, attributed,  ,  , Display Click, Retail January, ,  , OMS DE, Retail, Previous Site Activity, 0.833333333333
build004, last_event, Exact, Brand, Search Click,  , , Kategorien, DART Search : Google,  , Previous Site Activity, 11.0
testd00, attributed, Broad, Generic, Search Click,  , , Klein, DART Search : Google,  , Previous Site Activity, 0.166666666667
build0, attributed,  ,  , Impression, Motocraft 2016, ,  , Mobile.de, Retail, Previous Site Activity, 757.693240175
build0, last_event,  ,  , Display Click, Retail February, ,  , Axel Springer Media Impact, Retail, Previous Site Activity, 86.0
testd00, attributed,  ,  , Impression, Gewerbewochen Marz, ,  , OMS DE, Retail, Previous Site Activity, 1.74913809187
build0, attributed,  ,  , Display Click, Gewerbewochen Marz, ,  , Mobile.de, Retail, Previous Site Activity, 15.7709223027
build004, last_event,  ,  , Impression, Retail January, ,  , motor-talk.de, Retail, Previous Site Activity, 10.0
build004, last_event,  ,  , Impression, Retail January, ,  , autoplenum.de, Retail, Previous Site Activity, 5.0
build0, last_event,  ,  , Impression, UNKNOWN, ,  , Autoscout24.de, UNKNOWN, Previous Site Activity, 220.0
testd00, attributed, Exact, Brand, Search Click,  , , Handler, DART Search : Google,  , Previous Site Activity, 19.7501111053
testd00, last_event, Broad, Brand, Search Click,  , , Handler, DART Search : Google,  , Previous Site Activity, 21.0
testd00, attributed,  ,  , Impression, Smax, ,  , XaxisDE, Brand, Previous Site Activity, 258.136310216
testd00, attributed, Exact, Name Plate, Search Click,  , , C-Max Launch, DART Search : Google,  , Previous Site Activity, 84.8226492652
build004, attributed,  ,  , Impression, Smax, ,  , undertone.co.uk, Brand, Previous Site Activity, 5.8944503555
build0, attributed, Broad, Generic, Search Click,  , , Wagen, DART Search : Google,  , Previous Site Activity, 20.335310689
testd00, last_event, Broad, Name Plate, Search Click,  , , C-Max Launch, DART Search : Google,  , Previous Site Activity, 31.0
testd00, attributed, Broad, Commerce, Search Click,  , , Other Campaign, DART Search : Google,  , Previous Site Activity, 4.00007283539
build004, attributed, Exact, Commercial Vehicles, Search Click,  , , Transit, DART Search : Google,  , Previous Site Activity, 1.26748524774e-05
testd00, attributed, Exact, Generic, Search Click,  , , Familien, DART Search : Google,  , Previous Site Activity, 0.333333333333
testd00, last_event, Broad, Generic, Search Click,  , , Familien, DART Search : Google,  , Previous Site Activity, 2.0
build0, last_event, Broad, Brand, Search Click,  , , Handler, DART Search : Google,  , Previous Site Activity, 367.0
testd00, attributed, Broad, Name Plate, Search Click,  , , Kuga Sustain, DART Search : Google,  , Previous Site Activity, 37.7509153144
build0, attributed,  ,  , Display Click, Fleet February, ,  , Light Reaction, Retail, Previous Site Activity, 48.0371073247
testd00, last_event,  ,  , Display Click, Retail January, ,  , Mobile.de, Retail, Previous Site Activity, 2.0
build0, last_event,  ,  , Display Click, Gewerbewochen Marz, ,  , EMC, Retail, Previous Site Activity, 1.0
build0, attributed,  ,  , Impression, Retail January, ,  , Autoscout24.de, Retail, Previous Site Activity, 10415.1594305
testd00, attributed,  ,  , Impression, Kuga Sustain, ,  , OMS DE, Brand, Previous Site Activity, 6.31482810525
build004, attributed, Exact, Brand, Search Click,  , , Alone, DART Search : Google,  , Previous Site Activity, 334.637437014
build0, attributed,  ,  , Impression, Fleet Allrad, ,  , EMC, Retail, Previous Site Activity, 285.213811668
build0, attributed, Broad, Generic, Search Click,  , , 7Sitzer, DART Search : Google,  , Previous Site Activity, 57.5035311668
build0, last_event, Exact, Commercial Vehicles, Search Click,  , , Tourneo, DART Search : Google,  , Previous Site Activity, 195.0
testd00, last_event,  ,  , Impression, Gewerbewochen Marz, ,  , Mobile.de, Retail, Previous Site Activity, 13.0
build004, last_event,  ,  , Display Click, Gewerbewochen Marz, ,  , IQ Digital Network, Retail, Previous Site Activity, 1.0
build0, last_event, Exact, Generic, Search Click,  , , Turer, DART Search : Google,  , Previous Site Activity, 2.0
build004, last_event,  ,  , Display Click, Smax, ,  , united internet media, Brand, Previous Site Activity, 3.0
build0, last_event,  ,  , Display Click, Retail January, ,  , Mobile.de, Retail, Previous Site Activity, 161.0
build0, attributed,  ,  , Display Click, Retail February, ,  , united internet media, Retail, Previous Site Activity, 54.2343784268
build0, last_event,  ,  , Display Click, Fleet Allrad, ,  , Axel Springer Media Impact, Retail, Previous Site Activity, 33.0
