success type,attribution_method,SearchMatchType,SearchCategory,RecordType,CampaignMap,ActivitySubType,CampaignMapSearch,Site,CampaignType,Channel,contribution
testd00, last_event, Exact, Commerce, Search Click,  , , Fleet Lease, DART Search : Google,  , Previous Site Activity, 12.0
testd00, attributed,  ,  , Impression, UNKNOWN, ,  , Autoscout24.de, UNKNOWN, Previous Site Activity, 2.00004930594
testd00, last_event, Exact, Brand, Search Click,  , , Alone, DART Search : Google,  , Previous Site Activity, 511.0
build0, attributed,  ,  , Display Click, Retail February, ,  , Axel Springer Media Impact, Retail, Previous Site Activity, 16.3488984724
build0, attributed,  ,  , Display Click, Smax, ,  , yahoo.co.uk, Brand, Previous Site Activity, 205.395744014
build004, attributed,  ,  , Impression, Retail January, ,  , motor-talk.de, Retail, Previous Site Activity, 27.6562581562
build004, attributed,  ,  , Display Click, Motocraft 2016, ,  , Light Reaction, Retail, Previous Site Activity, 0.5
testd00, attributed, Broad, Brand, Search Click,  , , Handler, DART Search : Google,  , Previous Site Activity, 16.1167676508
build0, last_event,  ,  , Impression, Gewerbewochen Marz, ,  , EMC, Retail, Previous Site Activity, 16.0
testd00, last_event, Exact, Name Plate, Search Click,  , , Mondeo, DART Search : Google,  , Previous Site Activity, 43.0
build0, last_event,  ,  , Display Click, Retail Marz, ,  , XaxisDE, Retail, Previous Site Activity, 165.0
testd00, last_event,  ,  , Impression, Fleet Allrad, ,  , IQ Digital Network, Retail, Previous Site Activity, 5.0
euepr528, last_event, Exact, Brand, Search Click,  , , Generisch, DART Search : Google,  , Previous Site Activity, 1.0
testd00, last_event, Exact, Name Plate, Search Click,  , , Mondeo Vignale, DART Search : Google,  , Previous Site Activity, 2.0
build0, attributed, Exact, Brand, Search Click,  , , Mondeo Vignale, DART Search : Google,  , Previous Site Activity, 366.443945537
build0, last_event, Broad, Brand, Search Click,  , , Mondeo Vignale, DART Search : Google,  , Previous Site Activity, 129.0
testd00, attributed, Broad, Name Plate, Search Click,  , , C-Max Launch, DART Search : Google,  , Previous Site Activity, 21.4866656349
build004, last_event,  ,  , Impression, Smax, ,  , united internet media, Brand, Previous Site Activity, 4.0
build004, attributed,  ,  , Impression, UNKNOWN, ,  , Mobile.de, UNKNOWN, Previous Site Activity, 1.0
testd00, attributed, Broad, Generic, Search Click,  , , Familien, DART Search : Google,  , Previous Site Activity, 2.5
build0, last_event, Exact, Name Plate, Search Click,  , , Mondeo, DART Search : Google,  , Previous Site Activity, 7220.0
build0, last_event,  ,  , Impression, Fleet Allrad, ,  , Axel Springer Media Impact, Retail, Previous Site Activity, 292.0
